datapath_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,icmp_code,icmp_type,flow_duration_sec,flags,packet_count,byte_count,packet_count_per_second,packet_count_per_nanosec,byte_count_per_second,label
1,135.14.227.66,1356,10.0.0.2,80,17,0,0,19,0,0,0,0,0,0.0,1
1,136209144165,1195,10.0.0.2,80,17,0,0,35,0,0,0,0,0,0.0,1
1,137.130.128.18,1246,10.0.0.2,80,17,0,0,30,0,0,0,0,0,0.0,1
1,137.145.13.8,1331,10.0.0.2,80,17,0,0,21,0,0,0,0,0,0.0,1
1,137.224.177.41,1280,10.0.0.2,80,17,0,0,26,0,0,0,0,0,0.0,1
1,138.229.23.4,1346,10.0.0.2,80,17,0,0,20,0,0,0,0,0,0.0,1
1,139.10.130.73,1395,10.0.0.2,80,17,0,0,15,0,0,0,0,0,0.0,1
1,139123187102,1303,10.0.0.2,80,17,0,0,24,0,0,0,0,0,0.0,1
1,139.222.35.93,1125,10.0.0.2,80,17,0,0,42,0,0,0,0,0,0.0,1
1,139.249.13.58,1247,10.0.0.2,80,17,0,0,30,0,0,0,0,0,0.0,1
1,14.107.65.243,1350,10.0.0.2,80,17,0,0,19,0,0,0,0,0,0.0,1
1,14.196.224.21,1365,10.0.0.2,80,17,0,0,18,0,0,0,0,0,0.0,1
1,141.66.198.219,1152,10.0.0.2,80,17,0,0,39,0,0,0,0,0,0.0,1
1,141.87.107.249,1214,10.0.0.2,80,17,0,0,33,0,0,0,0,0,0.0,1
1,142100187110,1351,10.0.0.2,80,17,0,0,19,0,0,0,0,0,0.0,1
1,144.138.73.67,1180,10.0.0.2,80,17,0,0,36,0,0,0,0,0,0.0,1
1,144.161.9.0,1371,10.0.0.2,80,17,0,0,17,0,0,0,0,0,0.0,1
1,144192134177,1411,10.0.0.2,80,17,0,0,13,0,0,0,0,0,0.0,1
1,144199103169,1116,10.0.0.2,80,17,0,0,43,0,0,0,0,0,0.0,1
1,145.90.158.196,1137,10.0.0.2,80,17,0,0,41,0,0,0,0,0,0.0,1
1,146.18.93.67,1127,10.0.0.2,80,17,0,0,42,0,0,0,0,0,0.0,1
1,146188154190,1250,10.0.0.2,80,17,0,0,29,0,0,0,0,0,0.0,1
1,148.247.59.142,1136,10.0.0.2,80,17,0,0,41,0,0,0,0,0,0.0,1
1,149149210231,1366,10.0.0.2,80,17,0,0,18,0,0,0,0,0,0.0,1
1,149.21.56.187,1362,10.0.0.2,80,17,0,0,18,0,0,0,0,0,0.0,1
1,149.246.35.180,1283,10.0.0.2,80,17,0,0,26,0,0,0,0,0,0.0,1
1,152.13.159.82,1222,10.0.0.2,80,17,0,0,32,0,0,0,0,0,0.0,1
1,152.249.73.177,1344,10.0.0.2,80,17,0,0,20,0,0,0,0,0,0.0,1
1,152.52.136.35,1290,10.0.0.2,80,17,0,0,25,0,0,0,0,0,0.0,1
1,153.79.209.1,1384,10.0.0.2,80,17,0,0,16,0,0,0,0,0,0.0,1
1,154.43.191.103,1235,10.0.0.2,80,17,0,0,31,0,0,0,0,0,0.0,1
1,157.198.12.41,1146,10.0.0.2,80,17,0,0,40,0,0,0,0,0,0.0,1
1,158.180.9.23,1335,10.0.0.2,80,17,0,0,21,0,0,0,0,0,0.0,1
1,158210130211,1172,10.0.0.2,80,17,0,0,37,0,0,0,0,0,0.0,1
1,159.117.211.93,1352,10.0.0.2,80,17,0,0,19,0,0,0,0,0,0.0,1
1,159.128.18.82,1396,10.0.0.2,80,17,0,0,15,0,0,0,0,0,0.0,1
1,159.19.137.208,1194,10.0.0.2,80,17,0,0,35,0,0,0,0,0,0.0,1
1,159.35.112.215,1193,10.0.0.2,80,17,0,0,35,0,0,0,0,0,0.0,1
